	newspaper_id	2004	2014	2016	2019
0	10024	20968.0	11895.0	11016.0	11016.0
1	10037	135002.0	86902.0	69644.0	70624.0
2	10067	11654.0	12000.0	8995.0	8995.0
3	10154	12092.0	12000.0	9655.0	9655.0
4	10167	10111.0	21000.0	11272.0	11272.0
5	10246	3000.0	2475.0	2475.0	3805.0
6	10260	9200.0	10000.0	9130.0	9130.0
7	10309	139398.0	119204.0	74073.0	74073.0
8	10350	11615.0	11000.0	8252.0	8252.0
9	10409	10545.0	8769.0	7499.0	7499.0
10	10476	65598.0	54774.0	42968.0	42968.0
11	10601	15370.0	8073.0	8073.0	7128.0
12	10609	23385.0	23910.0	22472.0	22472.0
13	10614	183051.0	129901.0	86345.0	86345.0
14	10618	6251.0	6000.0	6690.0	6690.0
15	10696	251045.0	133977.0	105917.0	105917.0
16	10739	6896.0	3858.0	3111.0	3111.0
17	10807	4300.0	4372.0	3822.0	3822.0
18	10834	4072.0	3900.0	4025.0	3400.0
19	10849	12719.0	12500.0	9322.0	9322.0
20	10925	3645.0	4000.0	3471.0	3471.0
21	10932	10200.0	10300.0	10000.0	10000.0
22	10975	122639.0	92992.0	70744.0	70744.0
23	10987	17652.0	16088.0	14330.0	13500.0
24	10995	8500.0	8500.0	6000.0	6000.0
25	11000	3756.0	3000.0	13881.0	13881.0
26	11228	2000.0	1600.0	3999.0	3999.0
27	11261	22144.0	18971.0	19945.0	20129.0
28	11328	13143.0	5846.0	4715.0	4715.0
29	11349	4635.0	5000.0	4466.0	4466.0
30	11466	6500.0	4432.0	6468.0	6468.0
31	11506	21649.0	15095.0	27000.0	18693.0
32	11560	14435.0	11066.0	9281.0	9281.0
33	11727	6300.0	7500.0	5228.0	5228.0
34	11908	45839.0	33007.0	27104.0	27104.0
35	11927	14195.0	8254.0	8254.0	7011.0
36	12013	34148.0	28530.0	22551.0	22551.0
37	12048	4230.0	3690.0	3300.0	3300.0
38	12066	30895.0	22617.0	15261.0	15261.0
39	12111	6000.0	4289.0	4259.0	4259.0
40	12138	31345.0	17946.0	14706.0	14706.0
41	12149	11089.0	9031.0	7488.0	7488.0
42	12154	13695.0	6352.0	5374.0	5374.0
43	12171	17008.0	12344.0	10451.0	10451.0
44	12176	6500.0	5100.0	6656.0	6656.0
45	12182	12863.0	9677.0	8368.0	8368.0
46	12208	15000.0	12233.0	11217.0	9581.0
47	12262	19846.0	14597.0	11208.0	11208.0
48	12351	12799.0	11300.0	8684.0	8684.0
49	12376	9414.0	8100.0	9099.0	9099.0
50	12462	23328.0	19410.0	15805.0	15805.0
51	12610	5600.0	4800.0	4454.0	4454.0
52	12614	8633.0	8700.0	7165.0	7165.0
53	12827	6123.0	10513.0	14591.0	14591.0
54	12834	354309.0	311605.0	311605.0	148179.0
55	12857	5865.0	2358.0	1941.0	1941.0
56	12873	13881.0	7401.0	12447.0	12447.0
57	12957	18359.0	16440.0	13581.0	13581.0
58	12962	6000.0	4000.0	5235.0	5235.0
59	13009	9912.0	7161.0	5862.0	5862.0
60	13095	6829.0	4609.0	3979.0	3979.0
61	13136	23213.0	21092.0	18373.0	18373.0
62	13238	13200.0	12900.0	12176.0	12176.0
63	13333	28929.0	20580.0	13055.0	13055.0
64	13373	18747.0	13765.0	10934.0	5200.0
65	13480	6865.0	3750.0	3203.0	3203.0
66	13565	10516.0	8198.0	7356.0	7356.0
67	13601	7000.0	4650.0	5500.0	5500.0
68	13605	4400.0	20000.0	4500.0	4500.0
69	13649	32938.0	25424.0	22058.0	22058.0
70	13671	9277.0	9300.0	22938.0	22938.0
71	13712	6211.0	6500.0	4600.0	4600.0
72	13779	66487.0	44502.0	37587.0	
73	13805	4200.0	5300.0	5300.0	4064.0
74	13946	7000.0	6390.0	22800.0	22800.0
75	13991	22202.0	20882.0	18800.0	18800.0
76	14001	6124.0	4400.0	5858.0	5858.0
77	14014	20428.0	11584.0	9834.0	9834.0
78	14070	4200.0	3100.0	2500.0	2500.0
79	14073	3800.0	3400.0	1800.0	1800.0
80	14077	7000.0	6210.0	7200.0	7200.0
81	14078	5000.0	4470.0	4470.0	4470.0
82	14122	2900.0	2000.0		
83	14435	16500.0	15229.0	15229.0	
84	14436	15500.0	7178.0	7178.0	
85	14440	34000.0	8643.0	17300.0	17300.0
86	14441	30250.0	3890.0	20200.0	20200.0
87	14442	22900.0	4994.0	4994.0	
88	14443	14947.0	8639.0	8639.0	
89	14729	8255.0	12312.0	12176.0	
90	14730	7402.0	6309.0	6309.0	
91	14732	8000.0	8300.0	8300.0	
92	14733	2342.0	2573.0	2880.0	2880.0
93	14734	2000.0	1750.0		
94	14736	3951.0	3864.0	3700.0	3700.0
95	14737	2500.0	2209.0	2300.0	2300.0
96	14738	4000.0	3457.0	5000.0	5000.0
97	14740	12000.0	12980.0	4425.0	4425.0
98	14741	8500.0	7778.0	6500.0	6500.0
99	14743	3300.0	9991.0	9991.0	
100	14745	48500.0	4950.0	4950.0	35000.0
101	14746	7059.0	3864.0	3000.0	
102	14748	35000.0	11048.0	11048.0	
103	14750	9818.0	8844.0	8844.0	
104	14892	2300.0	1400.0	3000.0	3000.0
105	14964	2329.0	1772.0	1499.0	1499.0
106	14988	1000.0	768.0	950.0	
107	15000	3200.0	2765.0	2186.0	2186.0
108	15001	6762.0	2600.0	2600.0	2400.0
109	15037	18957.0	15000.0	15942.0	15942.0
110	15046	4000.0	4000.0	4400.0	4400.0
111	15056	6505.0	5700.0	5700.0	167.0
112	15061	65800.0	4950.0	16206.0	16206.0
113	15088	8097.0	6050.0	41418.0	41418.0
114	15089	4825.0	4149.0	4643.0	4643.0
115	15145	2025.0	900.0	2116.0	2116.0
116	15180	9952.0	8121.0	8121.0	7691.0
117	15223	4750.0	8633.0	8100.0	8100.0
118	15317	6200.0	3000.0	3500.0	
119	15328	5703.0	14885.0	14885.0	
120	15332	15000.0	14454.0	14454.0	1477.0
121	15411	49000.0	4950.0	35000.0	35000.0
122	15501	22500.0			
123	15510	2030.0	15035.0	15035.0	
124	15511	22500.0	12500.0	20000.0	20000.0
125	15641	90000.0	80190.0	80190.0	
126	15706	40000.0	35640.0	35640.0	35640.0
127	15710	25000.0	15365.0	10835.0	
128	15711	8586.0	3457.0	10835.0	
129	15816	48701.0	23275.0	23275.0	320.0
130	15880	19000.0	16571.0	16571.0	16520.0
131	15884	4500.0	389.0	18332.0	
132	15951	5600.0	4321.0	4321.0	
133	15955	21436.0	20166.0	20166.0	19462.0
134	16013	11146.0	8163.0	10835.0	
135	16094	8900.0	5358.0	6800.0	6800.0
136	16197	2300.0	8643.0	10835.0	
137	16232	12000.0	10371.0	3214.0	3214.0
138	16267	4236.0	3100.0	4287.0	4287.0
139	16302	5453.0	5079.0	5079.0	
