county,2004,2014,2016,2019
Adams County,1.0,3.0,3.0,1.0
Allen County,4.0,4.0,4.0,3.0
Ashland County,2.0,2.0,2.0,1.0
Ashtabula County,5.0,5.0,5.0,5.0
Athens County,2.0,2.0,2.0,2.0
Auglaize County,3.0,3.0,3.0,3.0
Belmont County,2.0,2.0,2.0,2.0
Brown County,3.0,3.0,3.0,3.0
Butler County,5.0,4.0,4.0,3.0
Carroll County,1.0,1.0,1.0,1.0
Champaign County,2.0,2.0,2.0,1.0
Clark County,2.0,1.0,1.0,1.0
Clermont County,6.0,6.0,6.0,1.0
Clinton County,2.0,2.0,2.0,1.0
Columbiana County,3.0,3.0,3.0,3.0
Coshocton County,1.0,1.0,1.0,1.0
Crawford County,4.0,4.0,4.0,3.0
Cuyahoga County,28.0,17.0,17.0,5.0
Darke County,3.0,4.0,4.0,3.0
Defiance County,2.0,2.0,2.0,2.0
Delaware County,7.0,4.0,4.0,4.0
Erie County,1.0,2.0,2.0,1.0
Fairfield County,3.0,2.0,2.0,2.0
Fayette County,1.0,1.0,1.0,1.0
Franklin County,34.0,26.0,26.0,18.0
Fulton County,6.0,5.0,5.0,4.0
Gallia County,1.0,2.0,2.0,1.0
Geauga County,3.0,1.0,1.0,1.0
Greene County,5.0,5.0,5.0,4.0
Guernsey County,2.0,1.0,1.0,1.0
Hamilton County,18.0,14.0,14.0,4.0
Hancock County,1.0,2.0,2.0,2.0
Hardin County,2.0,2.0,2.0,2.0
Harrison County,0.0,0.0,0.0,1.0
Henry County,3.0,3.0,3.0,3.0
Highland County,1.0,1.0,1.0,1.0
Hocking County,1.0,1.0,1.0,1.0
Holmes County,1.0,2.0,2.0,0.0
Huron County,5.0,6.0,5.0,5.0
Jackson County,2.0,4.0,4.0,1.0
Jefferson County,1.0,1.0,1.0,1.0
Knox County,2.0,2.0,2.0,1.0
Lake County,2.0,1.0,1.0,1.0
Lawrence County,2.0,1.0,1.0,1.0
Licking County,8.0,9.0,9.0,5.0
Logan County,1.0,1.0,1.0,1.0
Lorain County,10.0,9.0,9.0,8.0
Lucas County,4.0,6.0,6.0,3.0
Madison County,4.0,4.0,4.0,2.0
Mahoning County,8.0,8.0,8.0,6.0
Marion County,1.0,1.0,1.0,1.0
Medina County,3.0,4.0,4.0,2.0
Meigs County,1.0,1.0,1.0,1.0
Mercer County,2.0,1.0,1.0,1.0
Miami County,4.0,4.0,4.0,3.0
Monroe County,1.0,1.0,1.0,1.0
Montgomery County,11.0,11.0,11.0,6.0
Morgan County,2.0,1.0,1.0,1.0
Morrow County,1.0,1.0,1.0,1.0
Muskingum County,3.0,3.0,3.0,1.0
Noble County,1.0,1.0,1.0,1.0
Ottawa County,3.0,4.0,2.0,2.0
Paulding County,2.0,2.0,2.0,1.0
Perry County,1.0,1.0,1.0,1.0
Pickaway County,1.0,1.0,1.0,1.0
Pike County,1.0,1.0,1.0,1.0
Portage County,3.0,3.0,3.0,2.0
Preble County,4.0,3.0,3.0,2.0
Putnam County,4.0,4.0,4.0,2.0
Richland County,4.0,4.0,4.0,4.0
Ross County,1.0,1.0,1.0,1.0
Sandusky County,2.0,2.0,1.0,1.0
Scioto County,3.0,3.0,3.0,3.0
Seneca County,4.0,4.0,4.0,3.0
Shelby County,2.0,1.0,1.0,1.0
Stark County,6.0,6.0,6.0,5.0
Summit County,12.0,9.0,9.0,9.0
Trumbull County,2.0,1.0,1.0,1.0
Tuscarawas County,3.0,3.0,3.0,3.0
Union County,2.0,3.0,3.0,2.0
Van Wert County,2.0,2.0,2.0,2.0
Vinton County,1.0,1.0,1.0,1.0
Warren County,5.0,3.0,3.0,1.0
Washington County,2.0,1.0,1.0,1.0
Wayne County,2.0,3.0,3.0,3.0
Williams County,5.0,4.0,4.0,2.0
Wood County,5.0,6.0,6.0,5.0
Wyandot County,3.0,3.0,3.0,3.0
